age_group,cause,deaths,percent,country
All ages,"Communicable, maternal, perinatal and nutritional conditions",74617.42,20.68,Iraq
All ages,Injuries,51027.21,14.14,Iraq
All ages,Noncommunicable diseases,235120.88,65.17,Iraq
All ages,"Communicable, maternal, perinatal and nutritional conditions",10493.85,14.72,Ireland
All ages,Injuries,2528.79,3.55,Ireland
All ages,Noncommunicable diseases,58268.21,81.73,Ireland
All ages,"Communicable, maternal, perinatal and nutritional conditions",20371.86,18.95,Israel
All ages,Injuries,4411.44,4.1,Israel
All ages,Noncommunicable diseases,82694.99,76.94,Israel
All ages,"Communicable, maternal, perinatal and nutritional conditions",213634.45,15.04,Italy
All ages,Injuries,49368.1,3.48,Italy
All ages,Noncommunicable diseases,1157567.75,81.49,Italy
All ages,"Communicable, maternal, perinatal and nutritional conditions",9014.92,17.67,Jamaica
All ages,Injuries,4945.22,9.69,Jamaica
All ages,Noncommunicable diseases,37069.94,72.64,Jamaica
All ages,"Communicable, maternal, perinatal and nutritional conditions",275879.72,9.94,Japan
All ages,Injuries,130931.53,4.72,Japan
All ages,Noncommunicable diseases,2368809.98,85.34,Japan
All ages,"Communicable, maternal, perinatal and nutritional conditions",24850.3,34.38,Jordan
All ages,Injuries,4784.23,6.62,Jordan
All ages,Noncommunicable diseases,42643.61,59.0,Jordan
All ages,"Communicable, maternal, perinatal and nutritional conditions",100659.92,29.27,Kazakhstan
All ages,Injuries,19301.3,5.61,Kazakhstan
All ages,Noncommunicable diseases,223888.66,65.11,Kazakhstan
All ages,"Communicable, maternal, perinatal and nutritional conditions",308537.04,51.32,Kenya
All ages,Injuries,60900.23,10.13,Kenya
All ages,Noncommunicable diseases,231715.97,38.55,Kenya
All ages,"Communicable, maternal, perinatal and nutritional conditions",771.36,30.12,Kiribati
All ages,Injuries,111.65,4.36,Kiribati
All ages,Noncommunicable diseases,1678.31,65.53,Kiribati
All ages,"Communicable, maternal, perinatal and nutritional conditions",5991.84,28.08,Kuwait
All ages,Injuries,1886.96,8.84,Kuwait
All ages,Noncommunicable diseases,13463.01,63.08,Kuwait
All ages,"Communicable, maternal, perinatal and nutritional conditions",19880.4,27.37,Kyrgyzstan
All ages,Injuries,5051.79,6.95,Kyrgyzstan
All ages,Noncommunicable diseases,47712.65,65.68,Kyrgyzstan
All ages,"Communicable, maternal, perinatal and nutritional conditions",25607.79,27.61,Lao People's Democratic Republic
All ages,Injuries,7404.47,7.98,Lao People's Democratic Republic
All ages,Noncommunicable diseases,59745.2,64.41,Lao People's Democratic Republic
All ages,"Communicable, maternal, perinatal and nutritional conditions",10169.42,14.78,Latvia
All ages,Injuries,2842.47,4.13,Latvia
All ages,Noncommunicable diseases,55776.45,81.08,Latvia
All ages,"Communicable, maternal, perinatal and nutritional conditions",30011.32,37.35,Lebanon
All ages,Injuries,3655.99,4.55,Lebanon
All ages,Noncommunicable diseases,46688.98,58.1,Lebanon
All ages,"Communicable, maternal, perinatal and nutritional conditions",36211.86,55.66,Lesotho
All ages,Injuries,6064.43,9.32,Lesotho
All ages,Noncommunicable diseases,22786.87,35.02,Lesotho
All ages,"Communicable, maternal, perinatal and nutritional conditions",44850.19,57.49,Liberia
All ages,Injuries,5626.0,7.21,Liberia
All ages,Noncommunicable diseases,27536.62,35.3,Liberia
All ages,"Communicable, maternal, perinatal and nutritional conditions",17746.07,22.98,Libya
All ages,Injuries,8448.49,10.94,Libya
All ages,Noncommunicable diseases,51027.62,66.08,Libya
All ages,"Communicable, maternal, perinatal and nutritional conditions",16543.93,17.23,Lithuania
All ages,Injuries,4491.5,4.68,Lithuania
All ages,Noncommunicable diseases,75009.04,78.1,Lithuania
All ages,"Communicable, maternal, perinatal and nutritional conditions",1294.72,14.93,Luxembourg
All ages,Injuries,454.83,5.24,Luxembourg
All ages,Noncommunicable diseases,6922.38,79.83,Luxembourg
All ages,"Communicable, maternal, perinatal and nutritional conditions",231146.36,51.39,Madagascar
All ages,Injuries,35407.82,7.87,Madagascar
All ages,Noncommunicable diseases,183241.85,40.74,Madagascar
All ages,"Communicable, maternal, perinatal and nutritional conditions",144398.84,51.78,Malawi
All ages,Injuries,21659.47,7.77,Malawi
All ages,Noncommunicable diseases,112792.25,40.45,Malawi
All ages,"Communicable, maternal, perinatal and nutritional conditions",120702.87,26.61,Malaysia
All ages,Injuries,26800.0,5.91,Malaysia
All ages,Noncommunicable diseases,306047.04,67.48,Malaysia
All ages,"Communicable, maternal, perinatal and nutritional conditions",984.3,17.93,Maldives
All ages,Injuries,166.42,3.03,Maldives
All ages,Noncommunicable diseases,4338.05,79.03,Maldives
All ages,"Communicable, maternal, perinatal and nutritional conditions",220810.5,61.32,Mali
All ages,Injuries,32755.43,9.1,Mali
All ages,Noncommunicable diseases,106550.47,29.59,Mali
All ages,"Communicable, maternal, perinatal and nutritional conditions",1088.3,12.91,Malta
All ages,Injuries,292.41,3.47,Malta
All ages,Noncommunicable diseases,7047.83,83.62,Malta
All ages,"Communicable, maternal, perinatal and nutritional conditions",24081.49,48.39,Mauritania
All ages,Injuries,3700.84,7.44,Mauritania
All ages,Noncommunicable diseases,21987.8,44.18,Mauritania
All ages,"Communicable, maternal, perinatal and nutritional conditions",3680.52,15.27,Mauritius
All ages,Injuries,923.69,3.83,Mauritius
All ages,Noncommunicable diseases,19500.62,80.9,Mauritius
All ages,"Communicable, maternal, perinatal and nutritional conditions",804281.03,38.82,Mexico
All ages,Injuries,157481.18,7.6,Mexico
All ages,Noncommunicable diseases,1109925.31,53.58,Mexico
