country,iso3,sex,major_category,number_of_deaths,percentage_of_total_deaths,Year
Bosnia and Herzegovina,BIH,persons,"Communicable, maternal, perinatal and nutritional conditions",832.39,1.89,2019
Bosnia and Herzegovina,BIH,persons,Noncommunicable diseases,41920.34,95.08,2019
Bosnia and Herzegovina,BIH,persons,Injuries,1335.5,3.03,2019
Bosnia and Herzegovina,BIH,males,"Communicable, maternal, perinatal and nutritional conditions",389.63,0.88,2019
Bosnia and Herzegovina,BIH,males,Noncommunicable diseases,17566.43,39.84,2019
Bosnia and Herzegovina,BIH,males,Injuries,927.81,2.1,2019
Bosnia and Herzegovina,BIH,females,"Communicable, maternal, perinatal and nutritional conditions",442.75,1.0,2019
Bosnia and Herzegovina,BIH,females,Noncommunicable diseases,24353.91,55.24,2019
Bosnia and Herzegovina,BIH,females,Injuries,407.69,0.92,2019
Botswana,BWA,persons,"Communicable, maternal, perinatal and nutritional conditions",8921.76,52.14,2019
Botswana,BWA,persons,Noncommunicable diseases,6799.12,39.73,2019
Botswana,BWA,persons,Injuries,1391.45,8.13,2019
Botswana,BWA,males,"Communicable, maternal, perinatal and nutritional conditions",4711.84,27.53,2019
Botswana,BWA,males,Noncommunicable diseases,3319.1,19.4,2019
Botswana,BWA,males,Injuries,996.28,5.82,2019
Botswana,BWA,females,"Communicable, maternal, perinatal and nutritional conditions",4209.91,24.6,2019
Botswana,BWA,females,Noncommunicable diseases,3480.02,20.34,2019
Botswana,BWA,females,Injuries,395.17,2.31,2019
Brazil,BRA,persons,"Communicable, maternal, perinatal and nutritional conditions",196836.54,14.03,2019
Brazil,BRA,persons,Noncommunicable diseases,1045018.84,74.46,2019
Brazil,BRA,persons,Injuries,161537.78,11.51,2019
Brazil,BRA,males,"Communicable, maternal, perinatal and nutritional conditions",103148.51,7.35,2019
Brazil,BRA,males,Noncommunicable diseases,551654.58,39.31,2019
Brazil,BRA,males,Injuries,131008.11,9.34,2019
Brazil,BRA,females,"Communicable, maternal, perinatal and nutritional conditions",93688.03,6.68,2019
Brazil,BRA,females,Noncommunicable diseases,493364.26,35.16,2019
Brazil,BRA,females,Injuries,30529.67,2.18,2019
Brunei Darussalam,BRN,persons,"Communicable, maternal, perinatal and nutritional conditions",201.89,10.94,2019
Brunei Darussalam,BRN,persons,Noncommunicable diseases,1547.57,83.89,2019
Brunei Darussalam,BRN,persons,Injuries,95.22,5.16,2019
Brunei Darussalam,BRN,males,"Communicable, maternal, perinatal and nutritional conditions",110.02,5.96,2019
Brunei Darussalam,BRN,males,Noncommunicable diseases,844.92,45.8,2019
Brunei Darussalam,BRN,males,Injuries,73.64,3.99,2019
Brunei Darussalam,BRN,females,"Communicable, maternal, perinatal and nutritional conditions",91.87,4.98,2019
Brunei Darussalam,BRN,females,Noncommunicable diseases,702.65,38.09,2019
Brunei Darussalam,BRN,females,Injuries,21.59,1.17,2019
Bulgaria,BGR,persons,"Communicable, maternal, perinatal and nutritional conditions",2331.85,2.16,2019
Bulgaria,BGR,persons,Noncommunicable diseases,103079.89,95.41,2019
Bulgaria,BGR,persons,Injuries,2625.3,2.43,2019
Bulgaria,BGR,males,"Communicable, maternal, perinatal and nutritional conditions",1397.5,1.29,2019
Bulgaria,BGR,males,Noncommunicable diseases,52774.61,48.85,2019
Bulgaria,BGR,males,Injuries,1918.57,1.78,2019
Bulgaria,BGR,females,"Communicable, maternal, perinatal and nutritional conditions",934.35,0.86,2019
Bulgaria,BGR,females,Noncommunicable diseases,50305.27,46.56,2019
Bulgaria,BGR,females,Injuries,706.73,0.65,2019
Burkina Faso,BFA,persons,"Communicable, maternal, perinatal and nutritional conditions",82359.41,52.33,2019
Burkina Faso,BFA,persons,Noncommunicable diseases,56845.18,36.12,2019
Burkina Faso,BFA,persons,Injuries,18168.56,11.54,2019
Burkina Faso,BFA,males,"Communicable, maternal, perinatal and nutritional conditions",43230.31,27.47,2019
Burkina Faso,BFA,males,Noncommunicable diseases,28911.98,18.37,2019
Burkina Faso,BFA,males,Injuries,12248.5,7.78,2019
Burkina Faso,BFA,females,"Communicable, maternal, perinatal and nutritional conditions",39129.1,24.86,2019
Burkina Faso,BFA,females,Noncommunicable diseases,27933.2,17.75,2019
Burkina Faso,BFA,females,Injuries,5920.05,3.76,2019
Burundi,BDI,persons,"Communicable, maternal, perinatal and nutritional conditions",40979.42,52.07,2019
Burundi,BDI,persons,Noncommunicable diseases,29027.91,36.88,2019
Burundi,BDI,persons,Injuries,8694.94,11.05,2019
Burundi,BDI,males,"Communicable, maternal, perinatal and nutritional conditions",21329.68,27.1,2019
Burundi,BDI,males,Noncommunicable diseases,14538.98,18.47,2019
Burundi,BDI,males,Injuries,5818.06,7.39,2019
Burundi,BDI,females,"Communicable, maternal, perinatal and nutritional conditions",19649.73,24.97,2019
Burundi,BDI,females,Noncommunicable diseases,14488.93,18.41,2019
Burundi,BDI,females,Injuries,2876.88,3.66,2019
Cabo Verde,CPV,persons,"Communicable, maternal, perinatal and nutritional conditions",483.33,16.78,2019
Cabo Verde,CPV,persons,Noncommunicable diseases,2037.22,70.72,2019
Cabo Verde,CPV,persons,Injuries,359.95,12.5,2019
Cabo Verde,CPV,males,"Communicable, maternal, perinatal and nutritional conditions",287.76,9.99,2019
Cabo Verde,CPV,males,Noncommunicable diseases,1079.85,37.49,2019
Cabo Verde,CPV,males,Injuries,285.49,9.91,2019
Cabo Verde,CPV,females,"Communicable, maternal, perinatal and nutritional conditions",195.57,6.79,2019
Cabo Verde,CPV,females,Noncommunicable diseases,957.37,33.24,2019
Cabo Verde,CPV,females,Injuries,74.47,2.59,2019
Cambodia,KHM,persons,"Communicable, maternal, perinatal and nutritional conditions",23468.83,21.51,2019
Cambodia,KHM,persons,Noncommunicable diseases,75244.48,68.95,2019
Cambodia,KHM,persons,Injuries,10412.77,9.54,2019
Cambodia,KHM,males,"Communicable, maternal, perinatal and nutritional conditions",12164.05,11.15,2019
Cambodia,KHM,males,Noncommunicable diseases,37704.11,34.55,2019
Cambodia,KHM,males,Injuries,7313.56,6.7,2019
Cambodia,KHM,females,"Communicable, maternal, perinatal and nutritional conditions",11304.78,10.36,2019
Cambodia,KHM,females,Noncommunicable diseases,37540.37,34.4,2019
Cambodia,KHM,females,Injuries,3099.21,2.84,2019
Cameroon,CMR,persons,"Communicable, maternal, perinatal and nutritional conditions",110098.14,54.14,2019
Cameroon,CMR,persons,Noncommunicable diseases,74797.77,36.78,2019
Cameroon,CMR,persons,Injuries,18480.94,9.09,2019
Cameroon,CMR,males,"Communicable, maternal, perinatal and nutritional conditions",57245.27,28.15,2019
Cameroon,CMR,males,Noncommunicable diseases,38863.99,19.11,2019
Cameroon,CMR,males,Injuries,12932.38,6.36,2019
Cameroon,CMR,females,"Communicable, maternal, perinatal and nutritional conditions",52852.88,25.99,2019
Cameroon,CMR,females,Noncommunicable diseases,35933.78,17.67,2019
Cameroon,CMR,females,Injuries,5548.56,2.73,2019
Canada,CAN,persons,"Communicable, maternal, perinatal and nutritional conditions",13593.32,4.73,2019
Canada,CAN,persons,Noncommunicable diseases,256300.37,89.28,2019
Canada,CAN,persons,Injuries,17195.36,5.99,2019
Canada,CAN,males,"Communicable, maternal, perinatal and nutritional conditions",6478.36,2.26,2019
Canada,CAN,males,Noncommunicable diseases,129855.58,45.23,2019
Canada,CAN,males,Injuries,10327.7,3.6,2019
Canada,CAN,females,"Communicable, maternal, perinatal and nutritional conditions",7114.96,2.48,2019
Canada,CAN,females,Noncommunicable diseases,126444.79,44.04,2019
Canada,CAN,females,Injuries,6867.66,2.39,2019
Central African Republic,CAF,persons,"Communicable, maternal, perinatal and nutritional conditions",38353.05,65.89,2019
Central African Republic,CAF,persons,Noncommunicable diseases,14570.92,25.03,2019
Central African Republic,CAF,persons,Injuries,5284.33,9.08,2019
Central African Republic,CAF,males,"Communicable, maternal, perinatal and nutritional conditions",19676.23,33.8,2019
Central African Republic,CAF,males,Noncommunicable diseases,8100.63,13.92,2019
Central African Republic,CAF,males,Injuries,3882.77,6.67,2019
Central African Republic,CAF,females,"Communicable, maternal, perinatal and nutritional conditions",18676.82,32.09,2019
Central African Republic,CAF,females,Noncommunicable diseases,6470.3,11.12,2019
Central African Republic,CAF,females,Injuries,1401.56,2.41,2019
Chad,TCD,persons,"Communicable, maternal, perinatal and nutritional conditions",106401.09,67.88,2019
Chad,TCD,persons,Noncommunicable diseases,37612.22,24.0,2019
Chad,TCD,persons,Injuries,12731.33,8.12,2019
Chad,TCD,males,"Communicable, maternal, perinatal and nutritional conditions",54642.09,34.86,2019
Chad,TCD,males,Noncommunicable diseases,19848.64,12.66,2019
Chad,TCD,males,Injuries,8659.8,5.52,2019
Chad,TCD,females,"Communicable, maternal, perinatal and nutritional conditions",51759.0,33.02,2019
Chad,TCD,females,Noncommunicable diseases,17763.59,11.33,2019
Chad,TCD,females,Injuries,4071.53,2.6,2019
Chile,CHL,persons,"Communicable, maternal, perinatal and nutritional conditions",10675.22,9.41,2019
Chile,CHL,persons,Noncommunicable diseases,94454.01,83.29,2019
Chile,CHL,persons,Injuries,8280.95,7.3,2019
Chile,CHL,males,"Communicable, maternal, perinatal and nutritional conditions",5560.31,4.9,2019
Chile,CHL,males,Noncommunicable diseases,49128.74,43.32,2019
Chile,CHL,males,Injuries,6132.34,5.41,2019
Chile,CHL,females,"Communicable, maternal, perinatal and nutritional conditions",5114.91,4.51,2019
Chile,CHL,females,Noncommunicable diseases,45325.27,39.97,2019
Chile,CHL,females,Injuries,2148.61,1.89,2019
China,CHN,persons,"Communicable, maternal, perinatal and nutritional conditions",381413.61,3.47,2019
China,CHN,persons,Noncommunicable diseases,9925098.07,90.23,2019
China,CHN,persons,Injuries,693754.5,6.31,2019
China,CHN,males,"Communicable, maternal, perinatal and nutritional conditions",223894.99,2.04,2019
China,CHN,males,Noncommunicable diseases,5676503.09,51.6,2019
China,CHN,males,Injuries,467741.06,4.25,2019
China,CHN,females,"Communicable, maternal, perinatal and nutritional conditions",157518.61,1.43,2019
China,CHN,females,Noncommunicable diseases,4248594.98,38.62,2019
China,CHN,females,Injuries,226013.44,2.05,2019
Colombia,COL,persons,"Communicable, maternal, perinatal and nutritional conditions",24331.16,9.96,2019
Colombia,COL,persons,Noncommunicable diseases,184962.52,75.71,2019
Colombia,COL,persons,Injuries,35008.28,14.33,2019
Colombia,COL,males,"Communicable, maternal, perinatal and nutritional conditions",13230.3,5.42,2019
Colombia,COL,males,Noncommunicable diseases,91389.86,37.41,2019
Colombia,COL,males,Injuries,29369.89,12.02,2019
Colombia,COL,females,"Communicable, maternal, perinatal and nutritional conditions",11100.86,4.54,2019
Colombia,COL,females,Noncommunicable diseases,93572.66,38.3,2019
Colombia,COL,females,Injuries,5638.38,2.31,2019
Comoros,COM,persons,"Communicable, maternal, perinatal and nutritional conditions",1792.21,35.22,2019
Comoros,COM,persons,Noncommunicable diseases,2675.03,52.56,2019
Comoros,COM,persons,Injuries,622.05,12.22,2019
Comoros,COM,males,"Communicable, maternal, perinatal and nutritional conditions",917.34,18.02,2019
Comoros,COM,males,Noncommunicable diseases,1343.6,26.4,2019
Comoros,COM,males,Injuries,424.63,8.34,2019
Comoros,COM,females,"Communicable, maternal, perinatal and nutritional conditions",874.87,17.19,2019
Comoros,COM,females,Noncommunicable diseases,1331.43,26.16,2019
Comoros,COM,females,Injuries,197.42,3.88,2019
Congo,COG,persons,"Communicable, maternal, perinatal and nutritional conditions",23491.39,55.69,2019
Congo,COG,persons,Noncommunicable diseases,15189.91,36.01,2019
Congo,COG,persons,Injuries,3504.56,8.31,2019
Congo,COG,males,"Communicable, maternal, perinatal and nutritional conditions",11337.18,26.87,2019
Congo,COG,males,Noncommunicable diseases,7238.23,17.16,2019
Congo,COG,males,Injuries,2304.87,5.46,2019
Congo,COG,females,"Communicable, maternal, perinatal and nutritional conditions",12154.21,28.81,2019
Congo,COG,females,Noncommunicable diseases,7951.68,18.85,2019
Congo,COG,females,Injuries,1199.69,2.84,2019
Costa Rica,CRI,persons,"Communicable, maternal, perinatal and nutritional conditions",1804.19,7.18,2019
Costa Rica,CRI,persons,Noncommunicable diseases,20629.37,82.06,2019
Costa Rica,CRI,persons,Injuries,2705.98,10.76,2019
Costa Rica,CRI,males,"Communicable, maternal, perinatal and nutritional conditions",1021.09,4.06,2019
Costa Rica,CRI,males,Noncommunicable diseases,10481.66,41.69,2019
Costa Rica,CRI,males,Injuries,2108.02,8.39,2019
Costa Rica,CRI,females,"Communicable, maternal, perinatal and nutritional conditions",783.1,3.12,2019
Costa Rica,CRI,females,Noncommunicable diseases,10147.71,40.37,2019
Costa Rica,CRI,females,Injuries,597.96,2.38,2019
Côte d'Ivoire,CIV,persons,"Communicable, maternal, perinatal and nutritional conditions",109815.01,53.94,2019
Côte d'Ivoire,CIV,persons,Noncommunicable diseases,73937.29,36.32,2019
Côte d'Ivoire,CIV,persons,Injuries,19834.3,9.74,2019
Côte d'Ivoire,CIV,males,"Communicable, maternal, perinatal and nutritional conditions",60523.71,29.73,2019
Côte d'Ivoire,CIV,males,Noncommunicable diseases,42342.19,20.8,2019
Côte d'Ivoire,CIV,males,Injuries,13657.63,6.71,2019
Côte d'Ivoire,CIV,females,"Communicable, maternal, perinatal and nutritional conditions",49291.31,24.21,2019
Côte d'Ivoire,CIV,females,Noncommunicable diseases,31595.1,15.52,2019
Côte d'Ivoire,CIV,females,Injuries,6176.67,3.03,2019
Croatia,HRV,persons,"Communicable, maternal, perinatal and nutritional conditions",598.56,1.21,2019
Croatia,HRV,persons,Noncommunicable diseases,46376.58,93.49,2019
Croatia,HRV,persons,Injuries,2628.31,5.3,2019
Croatia,HRV,males,"Communicable, maternal, perinatal and nutritional conditions",314.75,0.63,2019
Croatia,HRV,males,Noncommunicable diseases,21803.92,43.96,2019
Croatia,HRV,males,Injuries,1489.72,3.0,2019
Croatia,HRV,females,"Communicable, maternal, perinatal and nutritional conditions",283.81,0.57,2019
Croatia,HRV,females,Noncommunicable diseases,24572.66,49.54,2019
Croatia,HRV,females,Injuries,1138.59,2.3,2019
Cuba,CUB,persons,"Communicable, maternal, perinatal and nutritional conditions",10320.6,9.51,2019
Cuba,CUB,persons,Noncommunicable diseases,90262.18,83.2,2019
Cuba,CUB,persons,Injuries,7901.2,7.28,2019
Cuba,CUB,males,"Communicable, maternal, perinatal and nutritional conditions",5547.05,5.11,2019
Cuba,CUB,males,Noncommunicable diseases,48991.85,45.16,2019
Cuba,CUB,males,Injuries,4688.54,4.32,2019
Cuba,CUB,females,"Communicable, maternal, perinatal and nutritional conditions",4773.55,4.4,2019
Cuba,CUB,females,Noncommunicable diseases,41270.32,38.04,2019
Cuba,CUB,females,Injuries,3212.67,2.96,2019
Cyprus,CYP,persons,"Communicable, maternal, perinatal and nutritional conditions",453.55,5.9,2019
Cyprus,CYP,persons,Noncommunicable diseases,6798.05,88.48,2019
Cyprus,CYP,persons,Injuries,431.82,5.62,2019
Cyprus,CYP,males,"Communicable, maternal, perinatal and nutritional conditions",212.76,2.77,2019
Cyprus,CYP,males,Noncommunicable diseases,3524.62,45.87,2019
Cyprus,CYP,males,Injuries,273.37,3.56,2019
Cyprus,CYP,females,"Communicable, maternal, perinatal and nutritional conditions",240.8,3.13,2019
Cyprus,CYP,females,Noncommunicable diseases,3273.42,42.6,2019
Cyprus,CYP,females,Injuries,158.45,2.06,2019
Czechia,CZE,persons,"Communicable, maternal, perinatal and nutritional conditions",6525.8,5.83,2019
Czechia,CZE,persons,Noncommunicable diseases,100097.55,89.38,2019
Czechia,CZE,persons,Injuries,5365.67,4.79,2019
Czechia,CZE,males,"Communicable, maternal, perinatal and nutritional conditions",3256.53,2.91,2019
Czechia,CZE,males,Noncommunicable diseases,50248.19,44.87,2019
Czechia,CZE,males,Injuries,3568.5,3.19,2019
Czechia,CZE,females,"Communicable, maternal, perinatal and nutritional conditions",3269.28,2.92,2019
Czechia,CZE,females,Noncommunicable diseases,49849.35,44.51,2019
Czechia,CZE,females,Injuries,1797.17,1.6,2019
Democratic People's Republic of Korea,PRK,persons,"Communicable, maternal, perinatal and nutritional conditions",29895.7,11.53,2019
Democratic People's Republic of Korea,PRK,persons,Noncommunicable diseases,211199.9,81.44,2019
Democratic People's Republic of Korea,PRK,persons,Injuries,18234.77,7.03,2019
Democratic People's Republic of Korea,PRK,males,"Communicable, maternal, perinatal and nutritional conditions",16974.16,6.55,2019
Democratic People's Republic of Korea,PRK,males,Noncommunicable diseases,103007.48,39.72,2019
Democratic People's Republic of Korea,PRK,males,Injuries,12640.12,4.87,2019
Democratic People's Republic of Korea,PRK,females,"Communicable, maternal, perinatal and nutritional conditions",12921.54,4.98,2019
Democratic People's Republic of Korea,PRK,females,Noncommunicable diseases,108192.42,41.72,2019
Democratic People's Republic of Korea,PRK,females,Injuries,5594.65,2.16,2019
Democratic Republic of the Congo,COD,persons,"Communicable, maternal, perinatal and nutritional conditions",465329.14,57.51,2019
Democratic Republic of the Congo,COD,persons,Noncommunicable diseases,275680.89,34.07,2019
Democratic Republic of the Congo,COD,persons,Injuries,68113.06,8.42,2019
Democratic Republic of the Congo,COD,males,"Communicable, maternal, perinatal and nutritional conditions",245900.53,30.39,2019
Democratic Republic of the Congo,COD,males,Noncommunicable diseases,142751.86,17.64,2019
Democratic Republic of the Congo,COD,males,Injuries,48159.89,5.95,2019
Democratic Republic of the Congo,COD,females,"Communicable, maternal, perinatal and nutritional conditions",219428.61,27.12,2019
Democratic Republic of the Congo,COD,females,Noncommunicable diseases,132929.03,16.43,2019
Democratic Republic of the Congo,COD,females,Injuries,19953.17,2.47,2019
Denmark,DNK,persons,"Communicable, maternal, perinatal and nutritional conditions",3658.41,6.83,2019
Denmark,DNK,persons,Noncommunicable diseases,47856.59,89.31,2019
Denmark,DNK,persons,Injuries,2071.26,3.87,2019
Denmark,DNK,males,"Communicable, maternal, perinatal and nutritional conditions",1836.31,3.43,2019
Denmark,DNK,males,Noncommunicable diseases,24048.71,44.88,2019
Denmark,DNK,males,Injuries,1259.49,2.35,2019
Denmark,DNK,females,"Communicable, maternal, perinatal and nutritional conditions",1822.1,3.4,2019
Denmark,DNK,females,Noncommunicable diseases,23807.89,44.43,2019
Denmark,DNK,females,Injuries,811.77,1.51,2019
Djibouti,DJI,persons,"Communicable, maternal, perinatal and nutritional conditions",3178.16,39.55,2019
Djibouti,DJI,persons,Noncommunicable diseases,4043.62,50.32,2019
Djibouti,DJI,persons,Injuries,814.11,10.13,2019
Djibouti,DJI,males,"Communicable, maternal, perinatal and nutritional conditions",1689.14,21.02,2019
Djibouti,DJI,males,Noncommunicable diseases,2035.97,25.34,2019
Djibouti,DJI,males,Injuries,530.89,6.61,2019
Djibouti,DJI,females,"Communicable, maternal, perinatal and nutritional conditions",1489.01,18.53,2019
Djibouti,DJI,females,Noncommunicable diseases,2007.65,24.98,2019
Djibouti,DJI,females,Injuries,283.22,3.52,2019
Dominican Republic,DOM,persons,"Communicable, maternal, perinatal and nutritional conditions",10758.1,17.6,2019
Dominican Republic,DOM,persons,Noncommunicable diseases,42729.31,69.91,2019
Dominican Republic,DOM,persons,Injuries,7635.2,12.49,2019
Dominican Republic,DOM,males,"Communicable, maternal, perinatal and nutritional conditions",5725.01,9.37,2019
Dominican Republic,DOM,males,Noncommunicable diseases,22132.77,36.21,2019
Dominican Republic,DOM,males,Injuries,6296.45,10.3,2019
Dominican Republic,DOM,females,"Communicable, maternal, perinatal and nutritional conditions",5033.09,8.23,2019
Dominican Republic,DOM,females,Noncommunicable diseases,20596.53,33.7,2019
Dominican Republic,DOM,females,Injuries,1338.75,2.19,2019
Ecuador,ECU,persons,"Communicable, maternal, perinatal and nutritional conditions",10402.92,13.0,2019
Ecuador,ECU,persons,Noncommunicable diseases,60117.1,75.1,2019
Ecuador,ECU,persons,Injuries,9529.49,11.9,2019
Ecuador,ECU,males,"Communicable, maternal, perinatal and nutritional conditions",5648.22,7.06,2019
Ecuador,ECU,males,Noncommunicable diseases,30829.54,38.51,2019
Ecuador,ECU,males,Injuries,7433.29,9.29,2019
Ecuador,ECU,females,"Communicable, maternal, perinatal and nutritional conditions",4754.7,5.94,2019
Ecuador,ECU,females,Noncommunicable diseases,29287.56,36.59,2019
Ecuador,ECU,females,Injuries,2096.2,2.62,2019
Egypt,EGY,persons,"Communicable, maternal, perinatal and nutritional conditions",52309.91,9.19,2019
Egypt,EGY,persons,Noncommunicable diseases,489591.13,85.98,2019
Egypt,EGY,persons,Injuries,27528.38,4.83,2019
Egypt,EGY,males,"Communicable, maternal, perinatal and nutritional conditions",29062.41,5.1,2019
Egypt,EGY,males,Noncommunicable diseases,269008.87,47.24,2019
Egypt,EGY,males,Injuries,21021.86,3.69,2019
Egypt,EGY,females,"Communicable, maternal, perinatal and nutritional conditions",23247.5,4.08,2019
Egypt,EGY,females,Noncommunicable diseases,220582.25,38.74,2019
Egypt,EGY,females,Injuries,6506.52,1.14,2019
El Salvador,SLV,persons,"Communicable, maternal, perinatal and nutritional conditions",3448.85,9.37,2019
El Salvador,SLV,persons,Noncommunicable diseases,24874.96,67.6,2019
El Salvador,SLV,persons,Injuries,8472.62,23.03,2019
El Salvador,SLV,males,"Communicable, maternal, perinatal and nutritional conditions",2018.06,5.48,2019
El Salvador,SLV,males,Noncommunicable diseases,13000.41,35.33,2019
El Salvador,SLV,males,Injuries,5967.53,16.22,2019
El Salvador,SLV,females,"Communicable, maternal, perinatal and nutritional conditions",1430.79,3.89,2019
El Salvador,SLV,females,Noncommunicable diseases,11874.55,32.27,2019
El Salvador,SLV,females,Injuries,2505.09,6.81,2019
Equatorial Guinea,GNQ,persons,"Communicable, maternal, perinatal and nutritional conditions",9209.42,61.79,2019
Equatorial Guinea,GNQ,persons,Noncommunicable diseases,4931.35,33.09,2019
Equatorial Guinea,GNQ,persons,Injuries,764.14,5.13,2019
Equatorial Guinea,GNQ,males,"Communicable, maternal, perinatal and nutritional conditions",5243.11,35.18,2019
Equatorial Guinea,GNQ,males,Noncommunicable diseases,2492.53,16.72,2019
Equatorial Guinea,GNQ,males,Injuries,534.6,3.59,2019
Equatorial Guinea,GNQ,females,"Communicable, maternal, perinatal and nutritional conditions",3966.31,26.61,2019
Equatorial Guinea,GNQ,females,Noncommunicable diseases,2438.82,16.36,2019
Equatorial Guinea,GNQ,females,Injuries,229.53,1.54,2019
Eritrea,ERI,persons,"Communicable, maternal, perinatal and nutritional conditions",9503.4,36.98,2019
Eritrea,ERI,persons,Noncommunicable diseases,13538.49,52.69,2019
Eritrea,ERI,persons,Injuries,2653.44,10.33,2019
Eritrea,ERI,males,"Communicable, maternal, perinatal and nutritional conditions",5211.64,20.28,2019
Eritrea,ERI,males,Noncommunicable diseases,6769.8,26.35,2019
Eritrea,ERI,males,Injuries,1844.56,7.18,2019
Eritrea,ERI,females,"Communicable, maternal, perinatal and nutritional conditions",4291.75,16.7,2019
Eritrea,ERI,females,Noncommunicable diseases,6768.68,26.34,2019
Eritrea,ERI,females,Injuries,808.87,3.15,2019
Estonia,EST,persons,"Communicable, maternal, perinatal and nutritional conditions",546.14,3.6,2019
Estonia,EST,persons,Noncommunicable diseases,13983.49,92.17,2019
Estonia,EST,persons,Injuries,642.28,4.23,2019
Estonia,EST,males,"Communicable, maternal, perinatal and nutritional conditions",283.65,1.87,2019
Estonia,EST,males,Noncommunicable diseases,6395.49,42.15,2019
Estonia,EST,males,Injuries,448.38,2.96,2019
Estonia,EST,females,"Communicable, maternal, perinatal and nutritional conditions",262.5,1.73,2019
Estonia,EST,females,Noncommunicable diseases,7587.99,50.01,2019
Estonia,EST,females,Injuries,193.91,1.28,2019
Eswatini,SWZ,persons,"Communicable, maternal, perinatal and nutritional conditions",6691.79,47.88,2019
Eswatini,SWZ,persons,Noncommunicable diseases,5987.64,42.84,2019
Eswatini,SWZ,persons,Injuries,1296.04,9.27,2019
Eswatini,SWZ,males,"Communicable, maternal, perinatal and nutritional conditions",3474.32,24.86,2019
Eswatini,SWZ,males,Noncommunicable diseases,3256.1,23.3,2019
Eswatini,SWZ,males,Injuries,1012.22,7.24,2019
Eswatini,SWZ,females,"Communicable, maternal, perinatal and nutritional conditions",3217.47,23.02,2019
Eswatini,SWZ,females,Noncommunicable diseases,2731.54,19.55,2019
Eswatini,SWZ,females,Injuries,283.81,2.03,2019
Ethiopia,ETH,persons,"Communicable, maternal, perinatal and nutritional conditions",301279.29,49.24,2019
Ethiopia,ETH,persons,Noncommunicable diseases,246625.89,40.31,2019
Ethiopia,ETH,persons,Injuries,63939.78,10.45,2019
Ethiopia,ETH,males,"Communicable, maternal, perinatal and nutritional conditions",163464.38,26.72,2019
Ethiopia,ETH,males,Noncommunicable diseases,121172.56,19.8,2019
Ethiopia,ETH,males,Injuries,43862.82,7.17,2019
Ethiopia,ETH,females,"Communicable, maternal, perinatal and nutritional conditions",137814.91,22.52,2019
Ethiopia,ETH,females,Noncommunicable diseases,125453.33,20.5,2019
Ethiopia,ETH,females,Injuries,20076.96,3.28,2019
Fiji,FJI,persons,"Communicable, maternal, perinatal and nutritional conditions",746.16,9.87,2019
Fiji,FJI,persons,Noncommunicable diseases,6475.95,85.65,2019
Fiji,FJI,persons,Injuries,338.81,4.48,2019
Fiji,FJI,males,"Communicable, maternal, perinatal and nutritional conditions",402.42,5.32,2019
Fiji,FJI,males,Noncommunicable diseases,3438.16,45.47,2019
Fiji,FJI,males,Injuries,228.76,3.03,2019
Fiji,FJI,females,"Communicable, maternal, perinatal and nutritional conditions",343.74,4.55,2019
Fiji,FJI,females,Noncommunicable diseases,3037.78,40.18,2019
Fiji,FJI,females,Injuries,110.05,1.46,2019
Finland,FIN,persons,"Communicable, maternal, perinatal and nutritional conditions",595.99,1.1,2019
Finland,FIN,persons,Noncommunicable diseases,50487.18,93.53,2019
Finland,FIN,persons,Injuries,2893.79,5.36,2019
Finland,FIN,males,"Communicable, maternal, perinatal and nutritional conditions",278.01,0.52,2019
Finland,FIN,males,Noncommunicable diseases,24932.46,46.19,2019
Finland,FIN,males,Injuries,1882.72,3.49,2019
Finland,FIN,females,"Communicable, maternal, perinatal and nutritional conditions",317.97,0.59,2019
Finland,FIN,females,Noncommunicable diseases,25554.72,47.34,2019
Finland,FIN,females,Injuries,1011.07,1.87,2019
France,FRA,persons,"Communicable, maternal, perinatal and nutritional conditions",43424.57,7.47,2019
France,FRA,persons,Noncommunicable diseases,498892.44,85.83,2019
France,FRA,persons,Injuries,38968.54,6.7,2019
France,FRA,males,"Communicable, maternal, perinatal and nutritional conditions",19259.6,3.31,2019
France,FRA,males,Noncommunicable diseases,246556.67,42.42,2019
France,FRA,males,Injuries,22476.2,3.87,2019
France,FRA,females,"Communicable, maternal, perinatal and nutritional conditions",24164.97,4.16,2019
France,FRA,females,Noncommunicable diseases,252335.77,43.41,2019
France,FRA,females,Injuries,16492.34,2.84,2019
Gabon,GAB,persons,"Communicable, maternal, perinatal and nutritional conditions",8390.18,47.79,2019
Gabon,GAB,persons,Noncommunicable diseases,7919.13,45.1,2019
Gabon,GAB,persons,Injuries,1248.39,7.11,2019
Gabon,GAB,males,"Communicable, maternal, perinatal and nutritional conditions",4551.93,25.93,2019
Gabon,GAB,males,Noncommunicable diseases,4465.34,25.43,2019
Gabon,GAB,males,Injuries,945.55,5.39,2019
Gabon,GAB,females,"Communicable, maternal, perinatal and nutritional conditions",3838.25,21.86,2019
Gabon,GAB,females,Noncommunicable diseases,3453.79,19.67,2019
Gabon,GAB,females,Injuries,302.84,1.72,2019
Gambia,GMB,persons,"Communicable, maternal, perinatal and nutritional conditions",7735.63,49.03,2019
Gambia,GMB,persons,Noncommunicable diseases,6654.77,42.18,2019
Gambia,GMB,persons,Injuries,1385.9,8.78,2019
