country,iso3,sex,major_category,number_of_deaths,percentage_of_total_deaths
Lao People's Democratic Republic,LAO,persons,"Communicable, maternal, perinatal and nutritional conditions",12803.9,26.95
Lao People's Democratic Republic,LAO,persons,Noncommunicable diseases,29872.6,62.89
Lao People's Democratic Republic,LAO,persons,Injuries,3702.24,7.79
Lao People's Democratic Republic,LAO,males,"Communicable, maternal, perinatal and nutritional conditions",6987.37,14.71
Lao People's Democratic Republic,LAO,males,Noncommunicable diseases,15848.45,33.36
Lao People's Democratic Republic,LAO,males,Injuries,2598.48,5.47
Lao People's Democratic Republic,LAO,females,"Communicable, maternal, perinatal and nutritional conditions",5816.53,12.24
Lao People's Democratic Republic,LAO,females,Noncommunicable diseases,14024.15,29.52
Lao People's Democratic Republic,LAO,females,Injuries,1103.76,2.32
Latvia,LVA,persons,"Communicable, maternal, perinatal and nutritional conditions",5084.71,14.78
Latvia,LVA,persons,Noncommunicable diseases,27888.22,81.08
Latvia,LVA,persons,Injuries,1421.24,4.13
Latvia,LVA,males,"Communicable, maternal, perinatal and nutritional conditions",2422.67,7.04
Latvia,LVA,males,Noncommunicable diseases,12622.63,36.7
Latvia,LVA,males,Injuries,1008.93,2.93
Latvia,LVA,females,"Communicable, maternal, perinatal and nutritional conditions",2662.04,7.74
Latvia,LVA,females,Noncommunicable diseases,15265.6,44.38
Latvia,LVA,females,Injuries,412.3,1.2
Lebanon,LBN,persons,"Communicable, maternal, perinatal and nutritional conditions",15005.66,34.19
Lebanon,LBN,persons,Noncommunicable diseases,23344.49,53.19
Lebanon,LBN,persons,Injuries,1828.0,4.17
Lebanon,LBN,males,"Communicable, maternal, perinatal and nutritional conditions",8527.62,19.43
Lebanon,LBN,males,Noncommunicable diseases,12203.66,27.81
Lebanon,LBN,males,Injuries,1290.51,2.94
Lebanon,LBN,females,"Communicable, maternal, perinatal and nutritional conditions",6478.04,14.76
Lebanon,LBN,females,Noncommunicable diseases,11140.84,25.39
Lebanon,LBN,females,Injuries,537.49,1.22
Lesotho,LSO,persons,"Communicable, maternal, perinatal and nutritional conditions",18105.93,54.14
Lesotho,LSO,persons,Noncommunicable diseases,11393.44,34.07
Lesotho,LSO,persons,Injuries,3032.21,9.07
Lesotho,LSO,males,"Communicable, maternal, perinatal and nutritional conditions",9778.8,29.24
Lesotho,LSO,males,Noncommunicable diseases,4838.4,14.47
Lesotho,LSO,males,Injuries,2169.43,6.49
Lesotho,LSO,females,"Communicable, maternal, perinatal and nutritional conditions",8327.13,24.9
Lesotho,LSO,females,Noncommunicable diseases,6555.03,19.6
Lesotho,LSO,females,Injuries,862.78,2.58
Liberia,LBR,persons,"Communicable, maternal, perinatal and nutritional conditions",22425.09,56.97
Liberia,LBR,persons,Noncommunicable diseases,13768.31,34.98
Liberia,LBR,persons,Injuries,2813.0,7.15
Liberia,LBR,males,"Communicable, maternal, perinatal and nutritional conditions",11667.43,29.64
Liberia,LBR,males,Noncommunicable diseases,6352.24,16.14
Liberia,LBR,males,Injuries,1861.7,4.73
Liberia,LBR,females,"Communicable, maternal, perinatal and nutritional conditions",10757.66,27.33
Liberia,LBR,females,Noncommunicable diseases,7416.07,18.84
Liberia,LBR,females,Injuries,951.3,2.42
Libya,LBY,persons,"Communicable, maternal, perinatal and nutritional conditions",8873.03,21.81
Libya,LBY,persons,Noncommunicable diseases,25513.81,62.7
Libya,LBY,persons,Injuries,4224.25,10.38
Libya,LBY,males,"Communicable, maternal, perinatal and nutritional conditions",4979.56,12.24
Libya,LBY,males,Noncommunicable diseases,13090.44,32.17
Libya,LBY,males,Injuries,3107.53,7.64
Libya,LBY,females,"Communicable, maternal, perinatal and nutritional conditions",3893.47,9.57
Libya,LBY,females,Noncommunicable diseases,12423.37,30.53
Libya,LBY,females,Injuries,1116.72,2.74
Lithuania,LTU,persons,"Communicable, maternal, perinatal and nutritional conditions",8271.97,17.23
Lithuania,LTU,persons,Noncommunicable diseases,37504.52,78.1
Lithuania,LTU,persons,Injuries,2245.75,4.68
Lithuania,LTU,males,"Communicable, maternal, perinatal and nutritional conditions",3929.45,8.18
Lithuania,LTU,males,Noncommunicable diseases,17061.54,35.53
Lithuania,LTU,males,Injuries,1549.64,3.23
Lithuania,LTU,females,"Communicable, maternal, perinatal and nutritional conditions",4342.51,9.04
Lithuania,LTU,females,Noncommunicable diseases,20442.98,42.57
Lithuania,LTU,females,Injuries,696.11,1.45
Luxembourg,LUX,persons,"Communicable, maternal, perinatal and nutritional conditions",647.36,14.93
Luxembourg,LUX,persons,Noncommunicable diseases,3461.19,79.83
Luxembourg,LUX,persons,Injuries,227.41,5.24
Luxembourg,LUX,males,"Communicable, maternal, perinatal and nutritional conditions",323.58,7.46
Luxembourg,LUX,males,Noncommunicable diseases,1764.99,40.71
Luxembourg,LUX,males,Injuries,126.33,2.91
Luxembourg,LUX,females,"Communicable, maternal, perinatal and nutritional conditions",323.78,7.47
Luxembourg,LUX,females,Noncommunicable diseases,1696.2,39.12
Luxembourg,LUX,females,Injuries,101.08,2.33
Madagascar,MDG,persons,"Communicable, maternal, perinatal and nutritional conditions",115573.18,50.41
Madagascar,MDG,persons,Noncommunicable diseases,91620.93,39.96
Madagascar,MDG,persons,Injuries,17703.91,7.72
Madagascar,MDG,males,"Communicable, maternal, perinatal and nutritional conditions",59904.08,26.13
Madagascar,MDG,males,Noncommunicable diseases,44712.64,19.5
Madagascar,MDG,males,Injuries,11464.18,5.0
Madagascar,MDG,females,"Communicable, maternal, perinatal and nutritional conditions",55669.1,24.28
Madagascar,MDG,females,Noncommunicable diseases,46908.29,20.46
Madagascar,MDG,females,Injuries,6239.73,2.72
Malawi,MWI,persons,"Communicable, maternal, perinatal and nutritional conditions",72199.42,50.69
Malawi,MWI,persons,Noncommunicable diseases,56396.13,39.59
Malawi,MWI,persons,Injuries,10829.73,7.6
Malawi,MWI,males,"Communicable, maternal, perinatal and nutritional conditions",38434.18,26.98
Malawi,MWI,males,Noncommunicable diseases,27803.31,19.52
Malawi,MWI,males,Injuries,7544.36,5.3
Malawi,MWI,females,"Communicable, maternal, perinatal and nutritional conditions",33765.24,23.7
Malawi,MWI,females,Noncommunicable diseases,28592.81,20.07
Malawi,MWI,females,Injuries,3285.37,2.31
Malaysia,MYS,persons,"Communicable, maternal, perinatal and nutritional conditions",60351.43,25.64
Malaysia,MYS,persons,Noncommunicable diseases,153023.52,65.0
Malaysia,MYS,persons,Injuries,13400.0,5.69
Malaysia,MYS,males,"Communicable, maternal, perinatal and nutritional conditions",34571.16,14.69
Malaysia,MYS,males,Noncommunicable diseases,82005.6,34.84
Malaysia,MYS,males,Injuries,10586.73,4.5
Malaysia,MYS,females,"Communicable, maternal, perinatal and nutritional conditions",25780.27,10.95
Malaysia,MYS,females,Noncommunicable diseases,71017.93,30.17
Malaysia,MYS,females,Injuries,2813.26,1.2
Maldives,MDV,persons,"Communicable, maternal, perinatal and nutritional conditions",492.15,17.58
Maldives,MDV,persons,Noncommunicable diseases,2169.02,77.49
Maldives,MDV,persons,Injuries,83.21,2.97
Maldives,MDV,males,"Communicable, maternal, perinatal and nutritional conditions",287.64,10.28
Maldives,MDV,males,Noncommunicable diseases,1251.06,44.69
Maldives,MDV,males,Injuries,60.46,2.16
Maldives,MDV,females,"Communicable, maternal, perinatal and nutritional conditions",204.51,7.31
Maldives,MDV,females,Noncommunicable diseases,917.96,32.79
Maldives,MDV,females,Injuries,22.75,0.81
Mali,MLI,persons,"Communicable, maternal, perinatal and nutritional conditions",110405.25,60.59
Mali,MLI,persons,Noncommunicable diseases,53275.23,29.24
Mali,MLI,persons,Injuries,16377.72,8.99
Mali,MLI,males,"Communicable, maternal, perinatal and nutritional conditions",56901.73,31.23
Mali,MLI,males,Noncommunicable diseases,24718.73,13.57
Mali,MLI,males,Injuries,10430.98,5.72
Mali,MLI,females,"Communicable, maternal, perinatal and nutritional conditions",53503.52,29.36
Mali,MLI,females,Noncommunicable diseases,28556.5,15.67
Mali,MLI,females,Injuries,5946.74,3.26
Malta,MLT,persons,"Communicable, maternal, perinatal and nutritional conditions",544.15,12.91
Malta,MLT,persons,Noncommunicable diseases,3523.91,83.62
Malta,MLT,persons,Injuries,146.2,3.47
Malta,MLT,males,"Communicable, maternal, perinatal and nutritional conditions",286.18,6.79
Malta,MLT,males,Noncommunicable diseases,1790.94,42.5
Malta,MLT,males,Injuries,85.96,2.04
Malta,MLT,females,"Communicable, maternal, perinatal and nutritional conditions",257.97,6.12
Malta,MLT,females,Noncommunicable diseases,1732.97,41.12
Malta,MLT,females,Injuries,60.24,1.43
Mauritania,MRT,persons,"Communicable, maternal, perinatal and nutritional conditions",12040.74,46.76
Mauritania,MRT,persons,Noncommunicable diseases,10993.9,42.7
Mauritania,MRT,persons,Injuries,1850.42,7.19
Mauritania,MRT,males,"Communicable, maternal, perinatal and nutritional conditions",6289.11,24.42
Mauritania,MRT,males,Noncommunicable diseases,4723.37,18.34
Mauritania,MRT,males,Injuries,1192.22,4.63
Mauritania,MRT,females,"Communicable, maternal, perinatal and nutritional conditions",5751.63,22.34
Mauritania,MRT,females,Noncommunicable diseases,6270.53,24.35
Mauritania,MRT,females,Injuries,658.21,2.56
Mauritius,MUS,persons,"Communicable, maternal, perinatal and nutritional conditions",1840.26,15.27
Mauritius,MUS,persons,Noncommunicable diseases,9750.31,80.9
Mauritius,MUS,persons,Injuries,461.85,3.83
Mauritius,MUS,males,"Communicable, maternal, perinatal and nutritional conditions",1028.58,8.53
Mauritius,MUS,males,Noncommunicable diseases,5502.4,45.65
Mauritius,MUS,males,Injuries,378.83,3.14
Mauritius,MUS,females,"Communicable, maternal, perinatal and nutritional conditions",811.68,6.73
Mauritius,MUS,females,Noncommunicable diseases,4247.91,35.25
Mauritius,MUS,females,Injuries,83.01,0.69
Mexico,MEX,persons,"Communicable, maternal, perinatal and nutritional conditions",402140.51,38.82
Mexico,MEX,persons,Noncommunicable diseases,554962.65,53.58
Mexico,MEX,persons,Injuries,78740.59,7.6
Mexico,MEX,males,"Communicable, maternal, perinatal and nutritional conditions",240103.1,23.18
Mexico,MEX,males,Noncommunicable diseases,296847.63,28.66
Mexico,MEX,males,Injuries,65441.41,6.32
Mexico,MEX,females,"Communicable, maternal, perinatal and nutritional conditions",162037.42,15.64
Mexico,MEX,females,Noncommunicable diseases,258115.03,24.92
Mexico,MEX,females,Injuries,13299.18,1.28
Micronesia (Federated States of),FSM,persons,"Communicable, maternal, perinatal and nutritional conditions",128.25,14.07
Micronesia (Federated States of),FSM,persons,Noncommunicable diseases,713.7,78.29
Micronesia (Federated States of),FSM,persons,Injuries,69.63,7.64
Micronesia (Federated States of),FSM,males,"Communicable, maternal, perinatal and nutritional conditions",68.17,7.48
Micronesia (Federated States of),FSM,males,Noncommunicable diseases,367.73,40.34
Micronesia (Federated States of),FSM,males,Injuries,52.27,5.73
Micronesia (Federated States of),FSM,females,"Communicable, maternal, perinatal and nutritional conditions",60.08,6.59
Micronesia (Federated States of),FSM,females,Noncommunicable diseases,345.96,37.95
Micronesia (Federated States of),FSM,females,Injuries,17.36,1.9
Mongolia,MNG,persons,"Communicable, maternal, perinatal and nutritional conditions",3320.53,15.17
Mongolia,MNG,persons,Noncommunicable diseases,16110.63,73.59
Mongolia,MNG,persons,Injuries,2176.58,9.94
Mongolia,MNG,males,"Communicable, maternal, perinatal and nutritional conditions",1742.92,7.96
Mongolia,MNG,males,Noncommunicable diseases,8712.99,39.8
Mongolia,MNG,males,Injuries,1767.3,8.07
Mongolia,MNG,females,"Communicable, maternal, perinatal and nutritional conditions",1577.61,7.21
Mongolia,MNG,females,Noncommunicable diseases,7397.64,33.79
Mongolia,MNG,females,Injuries,409.28,1.87
Montenegro,MNE,persons,"Communicable, maternal, perinatal and nutritional conditions",2347.39,27.11
Montenegro,MNE,persons,Noncommunicable diseases,5652.35,65.29
Montenegro,MNE,persons,Injuries,212.23,2.45
Montenegro,MNE,males,"Communicable, maternal, perinatal and nutritional conditions",1429.48,16.51
Montenegro,MNE,males,Noncommunicable diseases,2467.89,28.51
Montenegro,MNE,males,Injuries,148.77,1.72
Montenegro,MNE,females,"Communicable, maternal, perinatal and nutritional conditions",917.91,10.6
Montenegro,MNE,females,Noncommunicable diseases,3184.46,36.78
Montenegro,MNE,females,Injuries,63.47,0.73
Morocco,MAR,persons,"Communicable, maternal, perinatal and nutritional conditions",42763.05,16.96
Morocco,MAR,persons,Noncommunicable diseases,186713.41,74.04
Morocco,MAR,persons,Injuries,13479.43,5.35
Morocco,MAR,males,"Communicable, maternal, perinatal and nutritional conditions",23282.91,9.23
Morocco,MAR,males,Noncommunicable diseases,89879.06,35.64
Morocco,MAR,males,Injuries,9987.66,3.96
Morocco,MAR,females,"Communicable, maternal, perinatal and nutritional conditions",19480.14,7.72
Morocco,MAR,females,Noncommunicable diseases,96834.35,38.4
Morocco,MAR,females,Injuries,3491.78,1.38
Mozambique,MOZ,persons,"Communicable, maternal, perinatal and nutritional conditions",176994.47,59.72
Mozambique,MOZ,persons,Noncommunicable diseases,90648.34,30.58
Mozambique,MOZ,persons,Injuries,20801.05,7.02
Mozambique,MOZ,males,"Communicable, maternal, perinatal and nutritional conditions",92330.25,31.15
Mozambique,MOZ,males,Noncommunicable diseases,43563.33,14.7
Mozambique,MOZ,males,Injuries,13911.02,4.69
Mozambique,MOZ,females,"Communicable, maternal, perinatal and nutritional conditions",84664.21,28.57
Mozambique,MOZ,females,Noncommunicable diseases,47085.02,15.89
Mozambique,MOZ,females,Injuries,6890.03,2.32
Myanmar,MMR,persons,"Communicable, maternal, perinatal and nutritional conditions",124570.8,27.71
Myanmar,MMR,persons,Noncommunicable diseases,276824.68,61.57
Myanmar,MMR,persons,Injuries,30362.28,6.75
Myanmar,MMR,males,"Communicable, maternal, perinatal and nutritional conditions",75530.46,16.8
Myanmar,MMR,males,Noncommunicable diseases,145622.85,32.39
Myanmar,MMR,males,Injuries,21711.41,4.83
Myanmar,MMR,females,"Communicable, maternal, perinatal and nutritional conditions",49040.34,10.91
Myanmar,MMR,females,Noncommunicable diseases,131201.83,29.18
Myanmar,MMR,females,Injuries,8650.88,1.92
Namibia,NAM,persons,"Communicable, maternal, perinatal and nutritional conditions",15333.63,56.15
Namibia,NAM,persons,Noncommunicable diseases,8171.26,29.92
Namibia,NAM,persons,Injuries,1940.59,7.11
Namibia,NAM,males,"Communicable, maternal, perinatal and nutritional conditions",8439.84,30.9
Namibia,NAM,males,Noncommunicable diseases,3564.9,13.05
Namibia,NAM,males,Injuries,1420.67,5.2
Namibia,NAM,females,"Communicable, maternal, perinatal and nutritional conditions",6893.79,25.24
Namibia,NAM,females,Noncommunicable diseases,4606.36,16.87
Namibia,NAM,females,Injuries,519.92,1.9
Nepal,NPL,persons,"Communicable, maternal, perinatal and nutritional conditions",62152.73,31.25
Nepal,NPL,persons,Noncommunicable diseases,110050.61,55.34
Nepal,NPL,persons,Injuries,19142.89,9.63
Nepal,NPL,males,"Communicable, maternal, perinatal and nutritional conditions",36345.75,18.28
Nepal,NPL,males,Noncommunicable diseases,51566.25,25.93
Nepal,NPL,males,Injuries,11827.72,5.95
Nepal,NPL,females,"Communicable, maternal, perinatal and nutritional conditions",25806.98,12.98
Nepal,NPL,females,Noncommunicable diseases,58484.35,29.41
Nepal,NPL,females,Injuries,7315.17,3.68
Netherlands,NLD,persons,"Communicable, maternal, perinatal and nutritional conditions",28177.58,16.46
Netherlands,NLD,persons,Noncommunicable diseases,133765.13,78.16
Netherlands,NLD,persons,Injuries,9207.35,5.38
Netherlands,NLD,males,"Communicable, maternal, perinatal and nutritional conditions",14948.96,8.73
Netherlands,NLD,males,Noncommunicable diseases,66235.31,38.7
Netherlands,NLD,males,Injuries,4350.3,2.54
Netherlands,NLD,females,"Communicable, maternal, perinatal and nutritional conditions",13228.62,7.73
Netherlands,NLD,females,Noncommunicable diseases,67529.81,39.46
Netherlands,NLD,females,Injuries,4857.05,2.84
New Zealand,NZL,persons,"Communicable, maternal, perinatal and nutritional conditions",1560.39,4.51
New Zealand,NZL,persons,Noncommunicable diseases,30977.61,89.53
New Zealand,NZL,persons,Injuries,2062.73,5.96
New Zealand,NZL,males,"Communicable, maternal, perinatal and nutritional conditions",732.17,2.12
New Zealand,NZL,males,Noncommunicable diseases,16323.59,47.18
New Zealand,NZL,males,Injuries,1306.01,3.77
New Zealand,NZL,females,"Communicable, maternal, perinatal and nutritional conditions",828.22,2.39
New Zealand,NZL,females,Noncommunicable diseases,14654.03,42.35
New Zealand,NZL,females,Injuries,756.72,2.19
Nicaragua,NIC,persons,"Communicable, maternal, perinatal and nutritional conditions",12613.51,43.34
Nicaragua,NIC,persons,Noncommunicable diseases,14212.7,48.84
Nicaragua,NIC,persons,Injuries,2274.99,7.82
Nicaragua,NIC,males,"Communicable, maternal, perinatal and nutritional conditions",7100.66,24.4
Nicaragua,NIC,males,Noncommunicable diseases,6824.03,23.45
Nicaragua,NIC,males,Injuries,1911.56,6.57
Nicaragua,NIC,females,"Communicable, maternal, perinatal and nutritional conditions",5512.85,18.94
Nicaragua,NIC,females,Noncommunicable diseases,7388.68,25.39
Nicaragua,NIC,females,Injuries,363.44,1.25
Niger,NER,persons,"Communicable, maternal, perinatal and nutritional conditions",151480.44,65.71
Niger,NER,persons,Noncommunicable diseases,55149.38,23.92
Niger,NER,persons,Injuries,20984.01,9.1
Niger,NER,males,"Communicable, maternal, perinatal and nutritional conditions",77064.25,33.43
Niger,NER,males,Noncommunicable diseases,26771.07,11.61
Niger,NER,males,Injuries,13757.54,5.97
Niger,NER,females,"Communicable, maternal, perinatal and nutritional conditions",74416.19,32.28
Niger,NER,females,Noncommunicable diseases,28378.31,12.31
Niger,NER,females,Injuries,7226.47,3.13
Nigeria,NGA,persons,"Communicable, maternal, perinatal and nutritional conditions",1075697.04,63.7
Nigeria,NGA,persons,Noncommunicable diseases,467816.09,27.7
Nigeria,NGA,persons,Injuries,132294.64,7.83
Nigeria,NGA,males,"Communicable, maternal, perinatal and nutritional conditions",551081.61,32.63
Nigeria,NGA,males,Noncommunicable diseases,249642.38,14.78
Nigeria,NGA,males,Injuries,89097.56,5.28
Nigeria,NGA,females,"Communicable, maternal, perinatal and nutritional conditions",524615.43,31.07
Nigeria,NGA,females,Noncommunicable diseases,218173.71,12.92
Nigeria,NGA,females,Injuries,43197.09,2.56
North Macedonia,MKD,persons,"Communicable, maternal, perinatal and nutritional conditions",7816.02,27.69
North Macedonia,MKD,persons,Noncommunicable diseases,19677.03,69.72
North Macedonia,MKD,persons,Injuries,730.25,2.59
North Macedonia,MKD,males,"Communicable, maternal, perinatal and nutritional conditions",4249.1,15.06
North Macedonia,MKD,males,Noncommunicable diseases,9152.21,32.43
North Macedonia,MKD,males,Injuries,445.61,1.58
North Macedonia,MKD,females,"Communicable, maternal, perinatal and nutritional conditions",3566.92,12.64
North Macedonia,MKD,females,Noncommunicable diseases,10524.82,37.29
North Macedonia,MKD,females,Injuries,284.64,1.01
Norway,NOR,persons,"Communicable, maternal, perinatal and nutritional conditions",3168.37,7.61
Norway,NOR,persons,Noncommunicable diseases,36052.81,86.56
Norway,NOR,persons,Injuries,2431.68,5.84
Norway,NOR,males,"Communicable, maternal, perinatal and nutritional conditions",1535.92,3.69
Norway,NOR,males,Noncommunicable diseases,17452.67,41.9
Norway,NOR,males,Injuries,1395.44,3.35
Norway,NOR,females,"Communicable, maternal, perinatal and nutritional conditions",1632.45,3.92
Norway,NOR,females,Noncommunicable diseases,18600.14,44.66
Norway,NOR,females,Injuries,1036.24,2.49
"occupied Palestinian territory, including east Jerusalem",PSE,persons,"Communicable, maternal, perinatal and nutritional conditions",5158.07,25.38
"occupied Palestinian territory, including east Jerusalem",PSE,persons,Noncommunicable diseases,13176.43,64.84
"occupied Palestinian territory, including east Jerusalem",PSE,persons,Injuries,1358.28,6.68
"occupied Palestinian territory, including east Jerusalem",PSE,males,"Communicable, maternal, perinatal and nutritional conditions",2928.89,14.41
"occupied Palestinian territory, including east Jerusalem",PSE,males,Noncommunicable diseases,7013.24,34.51
"occupied Palestinian territory, including east Jerusalem",PSE,males,Injuries,1068.35,5.26
"occupied Palestinian territory, including east Jerusalem",PSE,females,"Communicable, maternal, perinatal and nutritional conditions",2229.18,10.97
"occupied Palestinian territory, including east Jerusalem",PSE,females,Noncommunicable diseases,6163.19,30.33
"occupied Palestinian territory, including east Jerusalem",PSE,females,Injuries,289.92,1.43
Oman,OMN,persons,"Communicable, maternal, perinatal and nutritional conditions",5837.31,33.49
Oman,OMN,persons,Noncommunicable diseases,9082.38,52.1
Oman,OMN,persons,Injuries,928.53,5.33
Oman,OMN,males,"Communicable, maternal, perinatal and nutritional conditions",3987.79,22.88
Oman,OMN,males,Noncommunicable diseases,5229.46,30.0
Oman,OMN,males,Injuries,758.98,4.35
Oman,OMN,females,"Communicable, maternal, perinatal and nutritional conditions",1849.52,10.61
Oman,OMN,females,Noncommunicable diseases,3852.92,22.1
Oman,OMN,females,Injuries,169.56,0.97
Pakistan,PAK,persons,"Communicable, maternal, perinatal and nutritional conditions",624653.52,37.29
Pakistan,PAK,persons,Noncommunicable diseases,871645.2,52.03
Pakistan,PAK,persons,Injuries,128226.61,7.65
Pakistan,PAK,males,"Communicable, maternal, perinatal and nutritional conditions",338810.22,20.23
Pakistan,PAK,males,Noncommunicable diseases,410349.13,24.5
Pakistan,PAK,males,Injuries,85184.67,5.09
Pakistan,PAK,females,"Communicable, maternal, perinatal and nutritional conditions",285843.3,17.06
Pakistan,PAK,females,Noncommunicable diseases,461296.08,27.54
Pakistan,PAK,females,Injuries,43041.94,2.57
Panama,PAN,persons,"Communicable, maternal, perinatal and nutritional conditions",6217.21,25.99
Panama,PAN,persons,Noncommunicable diseases,15948.26,66.66
Panama,PAN,persons,Injuries,1757.56,7.35
Panama,PAN,males,"Communicable, maternal, perinatal and nutritional conditions",3733.33,15.61
Panama,PAN,males,Noncommunicable diseases,8239.39,34.44
Panama,PAN,males,Injuries,1497.4,6.26
Panama,PAN,females,"Communicable, maternal, perinatal and nutritional conditions",2483.88,10.38
Panama,PAN,females,Noncommunicable diseases,7708.86,32.22
Panama,PAN,females,Injuries,260.16,1.09
Papua New Guinea,PNG,persons,"Communicable, maternal, perinatal and nutritional conditions",27448.68,41.06
Papua New Guinea,PNG,persons,Noncommunicable diseases,31820.84,47.61
Papua New Guinea,PNG,persons,Injuries,4718.44,7.06
Papua New Guinea,PNG,males,"Communicable, maternal, perinatal and nutritional conditions",15693.51,23.48
Papua New Guinea,PNG,males,Noncommunicable diseases,16428.7,24.58
Papua New Guinea,PNG,males,Injuries,3438.21,5.14
Papua New Guinea,PNG,females,"Communicable, maternal, perinatal and nutritional conditions",11755.17,17.59
Papua New Guinea,PNG,females,Noncommunicable diseases,15392.14,23.03
Papua New Guinea,PNG,females,Injuries,1280.23,1.92
Paraguay,PRY,persons,"Communicable, maternal, perinatal and nutritional conditions",22000.75,44.72
Paraguay,PRY,persons,Noncommunicable diseases,23804.01,48.39
Paraguay,PRY,persons,Injuries,3391.77,6.89
Paraguay,PRY,males,"Communicable, maternal, perinatal and nutritional conditions",12382.02,25.17
Paraguay,PRY,males,Noncommunicable diseases,12510.24,25.43
Paraguay,PRY,males,Injuries,2604.64,5.29
Paraguay,PRY,females,"Communicable, maternal, perinatal and nutritional conditions",9618.73,19.55
Paraguay,PRY,females,Noncommunicable diseases,11293.76,22.96
Paraguay,PRY,females,Injuries,787.13,1.6
Peru,PER,persons,"Communicable, maternal, perinatal and nutritional conditions",155950.2,53.6
Peru,PER,persons,Noncommunicable diseases,121004.39,41.59
Peru,PER,persons,Injuries,13976.94,4.8
Peru,PER,males,"Communicable, maternal, perinatal and nutritional conditions",98543.3,33.87
Peru,PER,males,Noncommunicable diseases,57121.79,19.63
Peru,PER,males,Injuries,10186.25,3.5
Peru,PER,females,"Communicable, maternal, perinatal and nutritional conditions",57406.91,19.73
Peru,PER,females,Noncommunicable diseases,63882.6,21.96
Peru,PER,females,Injuries,3790.69,1.3
Philippines,PHL,persons,"Communicable, maternal, perinatal and nutritional conditions",230687.18,25.38
Philippines,PHL,persons,Noncommunicable diseases,622231.56,68.46
Philippines,PHL,persons,Injuries,55944.19,6.16
Philippines,PHL,males,"Communicable, maternal, perinatal and nutritional conditions",123113.6,13.55
Philippines,PHL,males,Noncommunicable diseases,340223.43,37.43
Philippines,PHL,males,Injuries,42926.35,4.72
Philippines,PHL,females,"Communicable, maternal, perinatal and nutritional conditions",107573.58,11.84
Philippines,PHL,females,Noncommunicable diseases,282008.13,31.03
Philippines,PHL,females,Injuries,13017.84,1.43
Poland,POL,persons,"Communicable, maternal, perinatal and nutritional conditions",121804.31,23.72
Poland,POL,persons,Noncommunicable diseases,371390.29,72.33
Poland,POL,persons,Injuries,20244.99,3.94
Poland,POL,males,"Communicable, maternal, perinatal and nutritional conditions",65699.85,12.8
Poland,POL,males,Noncommunicable diseases,186082.96,36.24
Poland,POL,males,Injuries,14169.16,2.76
Poland,POL,females,"Communicable, maternal, perinatal and nutritional conditions",56104.46,10.93
Poland,POL,females,Noncommunicable diseases,185307.33,36.09
Poland,POL,females,Injuries,6075.83,1.18
Portugal,PRT,persons,"Communicable, maternal, perinatal and nutritional conditions",18996.39,15.44
Portugal,PRT,persons,Noncommunicable diseases,98725.41,80.25
Portugal,PRT,persons,Injuries,5297.03,4.31
Portugal,PRT,males,"Communicable, maternal, perinatal and nutritional conditions",9792.58,7.96
Portugal,PRT,males,Noncommunicable diseases,48733.47,39.61
Portugal,PRT,males,Injuries,3128.14,2.54
Portugal,PRT,females,"Communicable, maternal, perinatal and nutritional conditions",9203.82,7.48
Portugal,PRT,females,Noncommunicable diseases,49991.94,40.64
Portugal,PRT,females,Injuries,2168.88,1.76
Puerto Rico,PRI,persons,"Communicable, maternal, perinatal and nutritional conditions",4179.52,12.44
Puerto Rico,PRI,persons,Noncommunicable diseases,27320.84,81.32
Puerto Rico,PRI,persons,Injuries,2095.68,6.24
Puerto Rico,PRI,males,"Communicable, maternal, perinatal and nutritional conditions",2333.38,6.95
Puerto Rico,PRI,males,Noncommunicable diseases,14281.86,42.51
Puerto Rico,PRI,males,Injuries,1651.72,4.92
Puerto Rico,PRI,females,"Communicable, maternal, perinatal and nutritional conditions",1846.14,5.5
Puerto Rico,PRI,females,Noncommunicable diseases,13038.97,38.81
Puerto Rico,PRI,females,Injuries,443.96,1.32
Qatar,QAT,persons,"Communicable, maternal, perinatal and nutritional conditions",861.84,17.93
Qatar,QAT,persons,Noncommunicable diseases,2999.3,62.4
Qatar,QAT,persons,Injuries,699.95,14.56
Qatar,QAT,males,"Communicable, maternal, perinatal and nutritional conditions",630.87,13.13
Qatar,QAT,males,Noncommunicable diseases,1999.14,41.59
Qatar,QAT,males,Injuries,655.23,13.63
Qatar,QAT,females,"Communicable, maternal, perinatal and nutritional conditions",230.97,4.81
Qatar,QAT,females,Noncommunicable diseases,1000.16,20.81
Qatar,QAT,females,Injuries,44.71,0.93
Republic of Korea,KOR,persons,"Communicable, maternal, perinatal and nutritional conditions",46656.52,14.65
Republic of Korea,KOR,persons,Noncommunicable diseases,245781.54,77.18
Republic of Korea,KOR,persons,Injuries,26030.32,8.17
Republic of Korea,KOR,males,"Communicable, maternal, perinatal and nutritional conditions",23945.83,7.52
Republic of Korea,KOR,males,Noncommunicable diseases,131306.27,41.23
Republic of Korea,KOR,males,Injuries,17723.52,5.57
Republic of Korea,KOR,females,"Communicable, maternal, perinatal and nutritional conditions",22710.69,7.13
Republic of Korea,KOR,females,Noncommunicable diseases,114475.27,35.95
Republic of Korea,KOR,females,Injuries,8306.79,2.61
Republic of Moldova,MDA,persons,"Communicable, maternal, perinatal and nutritional conditions",11608.83,23.84
