country,iso3,sex,major_category,number_of_deaths,percentage_of_total_deaths
Benin,BEN,females,Noncommunicable diseases,17289.06,17.35
Benin,BEN,females,Injuries,2960.87,2.97
Bhutan,BTN,persons,"Communicable, maternal, perinatal and nutritional conditions",697.63,18.43
Bhutan,BTN,persons,Noncommunicable diseases,2710.53,71.62
Bhutan,BTN,persons,Injuries,376.55,9.95
Bhutan,BTN,males,"Communicable, maternal, perinatal and nutritional conditions",347.19,9.17
Bhutan,BTN,males,Noncommunicable diseases,1464.33,38.69
Bhutan,BTN,males,Injuries,247.85,6.55
Bhutan,BTN,females,"Communicable, maternal, perinatal and nutritional conditions",350.44,9.26
Bhutan,BTN,females,Noncommunicable diseases,1246.2,32.93
Bhutan,BTN,females,Injuries,128.7,3.4
Bolivia (Plurinational State of),BOL,persons,"Communicable, maternal, perinatal and nutritional conditions",51852.06,44.92
Bolivia (Plurinational State of),BOL,persons,Noncommunicable diseases,43337.56,37.55
Bolivia (Plurinational State of),BOL,persons,Injuries,6383.24,5.53
Bolivia (Plurinational State of),BOL,males,"Communicable, maternal, perinatal and nutritional conditions",30052.39,26.04
Bolivia (Plurinational State of),BOL,males,Noncommunicable diseases,23068.3,19.99
Bolivia (Plurinational State of),BOL,males,Injuries,4763.54,4.13
Bolivia (Plurinational State of),BOL,females,"Communicable, maternal, perinatal and nutritional conditions",21799.67,18.89
Bolivia (Plurinational State of),BOL,females,Noncommunicable diseases,20269.27,17.56
Bolivia (Plurinational State of),BOL,females,Injuries,1619.71,1.4
Bosnia and Herzegovina,BIH,persons,"Communicable, maternal, perinatal and nutritional conditions",12371.53,21.9
Bosnia and Herzegovina,BIH,persons,Noncommunicable diseases,42062.4,74.45
Bosnia and Herzegovina,BIH,persons,Injuries,1225.46,2.17
Bosnia and Herzegovina,BIH,males,"Communicable, maternal, perinatal and nutritional conditions",6172.04,10.92
Bosnia and Herzegovina,BIH,males,Noncommunicable diseases,16251.98,28.77
Bosnia and Herzegovina,BIH,males,Injuries,807.58,1.43
Bosnia and Herzegovina,BIH,females,"Communicable, maternal, perinatal and nutritional conditions",6199.49,10.97
Bosnia and Herzegovina,BIH,females,Noncommunicable diseases,25810.42,45.69
Bosnia and Herzegovina,BIH,females,Injuries,417.88,0.74
Botswana,BWA,persons,"Communicable, maternal, perinatal and nutritional conditions",13314.09,58.65
Botswana,BWA,persons,Noncommunicable diseases,6435.71,28.35
Botswana,BWA,persons,Injuries,1337.88,5.89
Botswana,BWA,males,"Communicable, maternal, perinatal and nutritional conditions",7387.7,32.54
Botswana,BWA,males,Noncommunicable diseases,2701.56,11.9
Botswana,BWA,males,Injuries,919.74,4.05
Botswana,BWA,females,"Communicable, maternal, perinatal and nutritional conditions",5926.39,26.11
Botswana,BWA,females,Noncommunicable diseases,3734.15,16.45
Botswana,BWA,females,Injuries,418.14,1.84
Brazil,BRA,persons,"Communicable, maternal, perinatal and nutritional conditions",650025.45,34.09
Brazil,BRA,persons,Noncommunicable diseases,1095457.54,57.45
Brazil,BRA,persons,Injuries,161212.07,8.46
Brazil,BRA,males,"Communicable, maternal, perinatal and nutritional conditions",365444.56,19.17
Brazil,BRA,males,Noncommunicable diseases,581345.99,30.49
Brazil,BRA,males,Injuries,129083.42,6.77
Brazil,BRA,females,"Communicable, maternal, perinatal and nutritional conditions",284580.89,14.93
Brazil,BRA,females,Noncommunicable diseases,514111.55,26.96
Brazil,BRA,females,Injuries,32128.65,1.69
Brunei Darussalam,BRN,persons,"Communicable, maternal, perinatal and nutritional conditions",283.58,14.42
Brunei Darussalam,BRN,persons,Noncommunicable diseases,1588.35,80.78
Brunei Darussalam,BRN,persons,Injuries,94.41,4.8
Brunei Darussalam,BRN,males,"Communicable, maternal, perinatal and nutritional conditions",157.28,8.0
Brunei Darussalam,BRN,males,Noncommunicable diseases,874.84,44.49
Brunei Darussalam,BRN,males,Injuries,72.05,3.66
Brunei Darussalam,BRN,females,"Communicable, maternal, perinatal and nutritional conditions",126.3,6.42
Brunei Darussalam,BRN,females,Noncommunicable diseases,713.5,36.29
Brunei Darussalam,BRN,females,Injuries,22.36,1.14
Bulgaria,BGR,persons,"Communicable, maternal, perinatal and nutritional conditions",32214.77,21.64
Bulgaria,BGR,persons,Noncommunicable diseases,114072.32,76.61
Bulgaria,BGR,persons,Injuries,2605.91,1.75
Bulgaria,BGR,males,"Communicable, maternal, perinatal and nutritional conditions",17277.94,11.6
Bulgaria,BGR,males,Noncommunicable diseases,58084.56,39.01
Bulgaria,BGR,males,Injuries,1875.74,1.26
Bulgaria,BGR,females,"Communicable, maternal, perinatal and nutritional conditions",14936.84,10.03
Bulgaria,BGR,females,Noncommunicable diseases,55987.76,37.6
Bulgaria,BGR,females,Injuries,730.17,0.49
Burkina Faso,BFA,persons,"Communicable, maternal, perinatal and nutritional conditions",82987.76,51.05
Burkina Faso,BFA,persons,Noncommunicable diseases,57902.2,35.62
Burkina Faso,BFA,persons,Injuries,18996.9,11.69
Burkina Faso,BFA,males,"Communicable, maternal, perinatal and nutritional conditions",43305.37,26.64
Burkina Faso,BFA,males,Noncommunicable diseases,29175.7,17.95
Burkina Faso,BFA,males,Injuries,12727.54,7.83
